time,joint_1_angle,joint_1_phase,joint_1_phase_sin,joint_2_angle,joint_2_phase,joint_2_phase_sin,joint_3_angle,joint_3_phase,joint_3_phase_sin,joint_4_angle,joint_4_phase,joint_4_phase_sin,joint_5_angle,joint_5_phase,joint_5_phase_sin,joint_6_angle,joint_6_phase,joint_6_phase_sin
1.826,-0.22733190984887577,4.001486090484055,-0.7577730328295862,0.2898655365864403,1.8314626872089221,0.9662184552881348,0.26307176974146274,2.072205911962919,0.8769058991382095,-0.05966561683253563,6.082964849221735,-0.19888538944178552,-0.02509597591129208,6.19943417989812,-0.0836532530376403,-0.28559027744538296,4.4011915197538585,-0.9519675914846102
1.827,-0.22971477492371933,4.013746338299729,-0.7657159164123981,0.28882426661328114,1.8446067024740682,0.9627475553776043,0.26134697735942375,2.08403967519594,0.8711565911980795,-0.05582783420082432,6.0960013532079405,-0.18609278066941448,-0.021667353478515675,6.2108978559791685,-0.07222451159505228,-0.2867378871954176,4.413937482809408,-0.955792957318059
1.828,-0.2320629535152108,4.026005756949462,-0.7735431783840363,0.2877332297618261,1.8577491729490843,0.959110765872754,0.2595856825301117,2.0958728025815816,0.865285608433706,-0.051980888405360796,6.109036758351463,-0.17326962801786938,-0.01823592785475572,6.2223613844141035,-0.060786426182519095,-0.2878387770638272,4.426681823200375,-0.9594625902127577
1.829,-0.23437609980524488,4.038264346712744,-0.7812536660174833,0.2865926320209915,1.870890098799279,0.9553087734033054,0.2577881376097569,2.1077052950426447,0.8592937920325233,-0.048125435213363946,6.122071065394225,-0.1604181173778799,-0.014802148993252526,6.233824768791599,-0.04934049664417511,-0.2888927863229881,4.4394245440433915,-0.9629759544099608
1.83,-0.23665387335658966,4.0505221078767795,-0.7888462445219658,0.28540268782028144,1.8840294801992636,0.9513422927342718,0.2559545999511891,2.119537153504612,0.8531819998372973,-0.044262131560475405,6.135104275075507,-0.14754043853491808,-0.01136646712810256,6.245288012690446,-0.03788822376034188,-0.28989976192132794,4.45216564845072,-0.9663325397377601
1.831,-0.23889593916133883,4.062779040736454,-0.7963197972044631,0.2841636199856057,1.8971673173329353,0.947212066618686,0.25408533186605403,2.1313683788956346,0.8469511062201804,-0.040391635438712305,6.148136388131953,-0.13463878479570773,-0.007929332716354843,6.256751119679533,-0.026431109054516153,-0.29085955850109635,4.4649051395302415,-0.9695318616703216
1.832,-0.24110196768851777,4.075035145594298,-0.8036732256283929,0.28287565969369466,1.9103036103934579,0.9429188656456492,0.25218060058636077,2.1431989721465188,0.8406020019545363,-0.03651460578432399,6.161167405297576,-0.12171535261441335,-0.004491196380079775,6.268214093317818,-0.014970654600265924,-0.29177203841489224,4.477643020385452,-0.9725734613829746
1.833,-0.2432716349308365,4.087290422760454,-0.8109054497694553,0.28153904642511995,1.9234383595832447,0.9384634880837335,0.25024067822536544,2.155028934190712,0.8341355940845518,-0.032631702365572925,6.174197327303761,-0.10877234121857646,-0.0010525088484175501,6.27967693715431,-0.003508362828058502,-0.29263707174094516,4.490379294115446,-0.975456905803151
1.834,-0.2454046224505826,4.099544872552638,-0.818015408168609,0.28015402791593164,1.93657156511394,0.9338467597197725,0.24826584173779775,2.1668582659642888,0.8275528057926596,-0.028743585670456765,6.187226154879279,-0.09581195223485592,0.002386279100385999,0.00795434754846358,0.007954263667953333,-0.2934545362971519,4.50311396381491,-0.9781817876571735
1.835,-0.24750061742464985,4.111798495296112,-0.8250020580821665,0.2787208601079218,1.9497032272064,0.929069533693073,0.24625637287943572,2.1786869684059367,0.8208545762647861,-0.02485091679439364,6.200253888750284,-0.0828363893146455,0.0058247166969489506,0.019416942388500787,0.019415722323163177,-0.2942243176538669,4.515847032574114,-0.9807477255128901
1.836,-0.24955931268869433,4.124051291323641,-0.8318643756289814,0.2772398070975254,1.9628333460906757,0.924132690325085,0.2442125581660345,2.1905150424569437,0.8140418605534486,-0.020954357327887016,6.213280529640325,-0.06984785775962342,0.009262353238721809,0.030879418013872832,0.030874510795739375,-0.2949463091454462,4.528578503478903,-0.9831543638181542
